,Player,Pos,Age,Tm,G,MP,GS,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,Fast.Break.Pts,Points.In.Paint,Points.off.TO,X2nd.Chance.PTS,Points.scored.per.shot,MPG,A2TO
196,Jakob Poeltl,C,22,TOR,82,1524,0,6,9.1,0.659,0,0,0.5,6,9,0.66,1.4,2.4,0.594,3.9,5.4,9.3,1.3,0.9,2.4,2,5,13.4,17.5,0.662,0.005,0.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,3.1,2.4,5.6,0.176,0.4,2.9,3.3,2,0.49,5.82,1.24,2.09,1.445,18.58536585,0.65
197,Jalen Jones,SF,24,TOT,16,181,0,5.2,13.5,0.382,2,5.2,0.385,3.2,8.4,0.381,2.4,3.8,0.632,2.6,5,7.6,0.8,1,0.2,1.4,4.4,14.7,10.3,0.485,0.382,0.279,7.7,15.7,11.6,3.5,1.4,0.5,8.4,20.9,0,0.1,0.1,0.027,-3.5,-2.9,-6.4,-0.2,0,0.75,0.25,0.25,1.231,11.3125,0.571428571
198,Jamal Crawford,SG,37,MIN,80,1653,0,6.7,16.2,0.415,2.3,6.8,0.331,4.4,9.3,0.477,2.2,2.5,0.903,0.5,1.7,2.2,4,0.9,0.2,2.1,1.9,17.9,13,0.519,0.423,0.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,0.9,0.3,1.3,0.037,0,-4,-3.9,-0.8,0.63,1.7,1.25,0.96,1.116,20.6625,1.904761905
199,Jamal Murray,PG,20,DEN,81,2565,80,6.7,14.9,0.451,2.3,6.1,0.378,4.4,8.8,0.502,3.2,3.6,0.905,1.2,3,4.2,3.8,1.1,0.4,2.4,2.4,19,16.1,0.576,0.411,0.238,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,4.3,1.2,5.5,0.103,1.8,-2,-0.2,1.2,2.15,5.76,2.54,1.99,1.293,31.66666667,1.583333333
200,Jameel Warney,PF,24,DAL,3,27,0,9.3,16,0.583,0,0,NA,9.3,16,0.583,4,6.7,0.6,5.3,6.7,12,0,0,0,1.3,2.7,22.7,22.6,0.599,0,0.417,15.9,21.3,18.5,0,0,0,6.6,25.6,0.1,0,0.1,0.157,-3.1,-9.1,-12.2,-0.1,0,5,0,3,1.182,9,0
201,Jameer Nelson,PG,35,TOT,50,1013,0,3.4,8.7,0.389,1.5,4.4,0.331,1.9,4.3,0.45,0.6,0.7,0.8,0.5,3.2,3.7,6.4,1,0.1,2.4,2.9,8.8,8.1,0.489,0.508,0.082,1.4,9.5,5.6,22.8,1.3,0.3,21,13.7,-0.1,0.7,0.6,0.028,-2.6,-1.5,-4,-0.5,0.39,1.27,0.73,0.22,1.016,20.26,2.666666667
202,Jamel Artis,SG,25,ORL,15,279,1,4,10.2,0.392,1,3.7,0.276,3,6.5,0.46,0.9,1.5,0.583,0.5,4.4,4.9,2.3,0.3,0.4,1,1.4,9.9,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0,-0.006,-4.3,-1.5,-5.9,-0.3,0,1.2,0,0.4,0.529,18.6,2.3
203,James Ennis,SF,27,TOT,72,1604,22,4.1,8.6,0.474,1.1,3.4,0.333,2.9,5.2,0.567,2.2,2.6,0.836,1.6,3.4,5,1.6,1.1,0.4,1.3,3,11.5,11.6,0.588,0.398,0.302,5.1,11,8,6.6,1.5,1,11.4,13.7,2,1.1,3.1,0.092,-0.6,-0.5,-1.1,0.4,1.76,3.15,2.08,1.25,1.38,22.27777778,1.230769231
204,James Harden,SG,28,HOU,72,2551,72,9.2,20.4,0.449,3.7,10.2,0.367,5.4,10.3,0.531,8.8,10.3,0.858,0.6,4.9,5.5,8.9,1.8,0.7,4.4,2.4,30.9,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,11.6,3.8,15.4,0.289,9.6,1.3,10.9,8.3,2.12,9.13,5.05,1.82,1.524,35.43055556,2.022727273
205,James Johnson,PF,30,MIA,73,1943,41,5.7,11.4,0.503,1.1,3.4,0.308,4.7,7.9,0.587,2.1,3,0.698,1.1,5.5,6.6,5.2,1.3,0.9,2.6,3.6,14.6,15.8,0.575,0.301,0.264,3.5,17.2,10.3,22.5,1.8,2.2,17.2,19.1,2.2,2.8,4.9,0.122,-0.1,1.7,1.7,1.8,0.57,5.61,1.67,0.79,1.255,26.61643836,2
206,James Michael McAdoo,PF,25,PHI,3,18,0,4,14,0.286,4,14,0.286,0,0,NA,4,4,1,0,4,4,0,0,2,2,2,16,7.4,0.508,1,0.286,0,11.5,6,0,0,4.6,11.3,21,0,0,0,0.023,-4.3,-4.4,-8.7,0,0,0,0,0,1.143,6,0
207,James Webb,SF,24,BRK,10,120,0,1.8,7.2,0.25,1.2,5.7,0.211,0.6,1.5,0.4,0,0,NA,2.4,4.8,7.2,1.2,0.3,0,1.2,3,4.8,2.2,0.333,0.792,0,7,14.3,10.6,4.5,0.4,0,14.3,10.1,-0.1,0,-0.1,-0.041,-5.1,-1.5,-6.6,-0.1,0.33,0.22,0.33,0,0.667,12,1
208,James Young,SG,22,PHI,6,61,0,3,8.3,0.357,1.8,5.9,0.3,1.2,2.4,0.5,2.4,3.5,0.667,0,1.2,1.2,1.2,0,0,0.6,2.4,10,4.6,0.511,0.714,0.429,0,3.4,1.8,4.3,0,0,5.7,12.3,0,0,0.1,0.041,-3,-3.6,-6.6,-0.1,0.4,0.4,0.8,0,1.25,10.16666667,2
209,Jamil Wilson,SF,27,LAC,15,274,10,5,10.6,0.469,3.5,8.3,0.429,1.4,2.4,0.611,0.3,0.5,0.5,0.4,3.8,4.2,1.3,0.7,1.1,1.1,4.5,13.8,11.4,0.634,0.778,0.049,1.2,11.5,6.4,5.2,0.9,2.4,8.8,14.3,0.4,0.2,0.5,0.096,1.1,-1.1,0,0.1,0.73,0.8,1.2,1,1.296,18.26666667,1.181818182
210,JaMychal Green,PF,27,MEM,55,1542,54,5.2,11.4,0.457,1,3,0.339,4.2,8.4,0.499,1.9,2.6,0.721,3.4,7.4,10.8,1.8,0.7,0.6,1.8,3.6,13.3,14,0.53,0.26,0.227,10.8,24.4,17.4,8.3,1,1.5,12.4,17.8,1.3,1.3,2.6,0.079,-1.2,-0.4,-1.5,0.2,1.34,5.32,1.72,2.34,1.168,28.03636364,1
211,Jared Dudley,PF,32,PHO,48,686,0,2.5,6.4,0.393,1.5,4.2,0.363,1,2.2,0.452,1.4,1.8,0.771,0.4,4.5,4.9,4.1,1.3,0.6,1.5,4.5,8,8.8,0.553,0.656,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,0.5,0.4,0.8,0.058,-1.9,0,-1.9,0,0.13,0.46,0.59,0.26,1.287,14.29166667,2.733333333
212,Jarell Eddie,SF,26,TOT,3,9,0,0,8,0,0,8,0,0,0,NA,0,0,NA,0,4,4,0,4,0,0,0,0,-1.9,0,1,0,0,12,6.1,0,5.6,0,0,9.8,0,0,0,-0.142,-10,1.6,-8.4,0,0,0,0,0,0,3,NA
213,Jarell Martin,PF,23,MEM,73,1661,36,4.8,10.8,0.446,0.7,2.1,0.347,4.1,8.6,0.47,1.9,2.5,0.767,2.1,4.8,6.9,1.6,0.8,1.1,1.9,4.6,12.2,10.5,0.516,0.198,0.234,6.6,15.8,11.1,7,1.2,2.8,13.6,17.1,0.1,1.2,1.3,0.038,-3,0,-3,-0.4,1.21,3.59,1.51,1.29,1.165,22.75342466,0.842105263
214,Jarrett Allen,C,19,BRK,72,1441,31,5.8,9.9,0.589,0.1,0.4,0.333,5.7,9.5,0.599,2.8,3.7,0.776,3.6,6.1,9.7,1.2,0.7,2.2,2,3.7,14.7,17.5,0.636,0.038,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,0.47,6.24,1.03,1.72,1.455,20.01388889,0.6
215,Jarrett Jack,PG,34,NYK,62,1548,56,4.4,10.3,0.427,0.6,2,0.291,3.8,8.3,0.459,1.5,1.7,0.84,0.5,3.9,4.4,8.1,0.8,0.1,2.7,2.3,10.8,11.5,0.489,0.194,0.169,1.6,12.1,6.8,31.3,1.1,0.2,19.5,16.7,0.5,0.7,1.2,0.036,-1.9,-1.7,-3.5,-0.6,0.6,3.02,0.79,0.53,1.046,24.96774194,3
216,Jason Smith,C,31,WAS,33,285,2,5.7,14.5,0.391,0.5,4,0.125,5.2,10.5,0.494,2.4,2.7,0.905,2.3,4.4,6.7,1.8,0.4,1.6,2,5.6,14.3,8.8,0.455,0.278,0.183,7.2,13.9,10.5,7.4,0.5,4,11.4,21.7,-0.2,0.3,0,0.003,-4.8,-1.1,-6,-0.3,0.15,1.33,0.37,0.74,0.939,8.636363636,0.9
217,Jason Terry,SG,40,MIL,51,814,4,2.6,6.8,0.383,1.8,5.1,0.348,0.8,1.7,0.487,0.4,0.4,0.889,0.2,1.9,2.1,2.6,1.9,0.6,1.1,2.3,7.3,8.1,0.525,0.747,0.058,0.7,6.2,3.5,9.7,2.6,1.4,13.7,10.1,0.1,0.6,0.7,0.042,-1.6,-0.5,-2.1,0,0.62,0.32,0.78,0.22,1.077,15.96078431,2.363636364
218,JaVale McGee,C,30,GSW,65,615,17,8,12.8,0.621,0,0.4,0,8,12.5,0.638,2.2,3,0.731,3.5,6.4,9.9,1.9,1.2,3.3,1.6,5.3,18.1,22.3,0.641,0.027,0.237,11.5,18.7,15.4,8,1.6,7.3,10,19.2,1.7,1.1,2.7,0.212,0.4,2.1,2.6,0.7,0.74,3.56,0.72,0.54,1.506,9.461538462,1.1875
219,Jawun Evans,PG,21,LAC,48,778,4,4.1,11.7,0.352,0.7,2.5,0.278,3.4,9.2,0.372,1.8,2.3,0.776,0.4,3.5,3.9,4.6,1.7,0.3,2,4.5,10.7,7.2,0.421,0.213,0.194,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,-0.8,0.6,-0.2,-0.011,-4.2,-0.5,-4.7,-0.5,0.81,2.52,1.07,0.64,0.912,16.20833333,2.3
220,Jaylen Brown,SG,21,BOS,70,2152,70,6.2,13.4,0.465,2,5.1,0.395,4.2,8.3,0.507,2.5,3.9,0.644,1.1,4.7,5.8,1.9,1.2,0.4,2.1,3,17,13.6,0.562,0.381,0.29,3.4,14,8.8,8.5,1.6,1,12,21.4,1.2,3.2,4.5,0.1,-0.6,0.4,-0.2,1,2.05,6.2,2.89,1.84,1.244,30.74285714,0.904761905
221,Jaylen Morris,SG,22,ATL,6,98,0,4.8,11.8,0.406,0.7,3.7,0.2,4,8.1,0.5,0,0,NA,0.7,5.1,5.9,2.6,0.7,0.4,2.2,0.7,10.3,6.5,0.438,0.313,0,2.3,15.9,9.1,10.8,1,0.9,15.8,16.9,-0.2,0.1,-0.1,-0.053,-6.1,-1,-7.1,-0.1,0.67,3,0.5,0.67,0.903,16.33333333,1.181818182
222,Jayson Tatum,SF,19,BOS,80,2438,80,5.9,12.3,0.475,1.6,3.6,0.434,4.3,8.8,0.492,3.1,3.8,0.826,0.7,5.2,5.9,1.9,1.2,0.9,1.7,2.5,16.4,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,-0.5,1.5,1,1.8,1.93,4.74,2.32,1.09,1.33,30.475,1.117647059
223,Jeff Green,PF,31,CLE,78,1828,13,5.8,12.2,0.477,1,3.3,0.312,4.8,8.8,0.54,4,4.6,0.868,1.2,3.7,4.8,1.9,0.8,0.7,1.5,2.9,16.7,14.8,0.587,0.275,0.379,3.7,11.2,7.6,8,1.1,1.6,9.4,19.3,3.1,0.8,3.9,0.103,-0.2,-1.7,-1.9,0.1,1.52,5.35,1.74,1.08,1.35,23.43589744,1.266666667
224,Jeff Teague,PG,29,MIN,70,2311,70,5.5,12.4,0.446,1.3,3.6,0.368,4.2,8.8,0.477,3.1,3.7,0.845,0.4,2.9,3.3,7.7,1.6,0.4,2.8,2.7,15.5,16.4,0.553,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.8,16.4,20.6,3.4,1.4,4.9,0.101,1.5,-1.3,0.2,1.3,1.33,6.24,2.31,0.48,1.232,33.01428571,2.75
225,Jeff Withey,C,27,DAL,9,39,0,5.5,14.8,0.375,1.8,9.2,0.2,3.7,5.5,0.667,0.9,1.8,0.5,0.9,8.3,9.2,0,0,2.8,1.8,2.8,13.8,8.3,0.444,0.625,0.125,2.8,26.6,14.2,0,0,6.8,10.6,22,-0.1,0.1,0,-0.054,-9.1,-3.7,-12.8,-0.1,0.33,0.89,0.56,0.22,0.938,4.333333333,0
226,Jerami Grant,PF,23,OKC,81,1647,1,5.3,10,0.535,0.7,2.4,0.291,4.6,7.6,0.613,3.5,5.2,0.675,1.9,5.1,7,1.2,0.7,1.7,1.2,3.4,14.9,16.2,0.607,0.241,0.526,5.6,16.3,10.7,5.1,0.9,4.2,8.8,16,3.5,1.9,5.4,0.156,-0.8,0.2,-0.6,0.6,0.83,4.93,1.81,1.01,1.431,20.33333333,1
227,Jeremy Lamb,SG,25,CHO,80,1967,18,7,15.2,0.457,1.7,4.6,0.37,5.2,10.6,0.495,3.3,3.8,0.861,0.9,5,5.9,3.4,1.1,0.6,1.7,2.5,18.9,17,0.559,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3,1.9,4.9,0.12,1.2,-0.2,0.9,1.5,1.24,5.12,1.82,1.51,1.242,24.5875,2
228,Jeremy Lin,PG,29,BRK,1,25,1,7.2,17.3,0.417,1.4,2.9,0.5,5.8,14.4,0.4,10.1,10.1,1,0,0,0,5.8,0,0,4.3,4.3,25.9,15.9,0.597,0.167,0.583,0,0,0,27.1,0,0,16.6,31.3,0,0,0,0.087,-3.1,-10.4,-13.5,-0.1,2,6,6,0,1.5,25,1.348837209
229,Jerian Grant,PG,25,CHI,74,1686,26,4.5,10.7,0.416,1.3,4,0.326,3.2,6.7,0.468,3,4,0.745,0.7,3,3.7,7.3,1.3,0.2,1.9,2.8,13.2,14.3,0.528,0.372,0.374,1.9,9.3,5.5,30.1,1.8,0.4,13.2,17.4,2.3,1,3.3,0.094,-0.1,-1.8,-2,0,0.78,2.17,0.83,0.52,1.272,22.78378378,3.842105263
230,Jerryd Bayless,SG,29,PHI,39,925,11,4.2,10.2,0.416,2.1,5.7,0.37,2.1,4.5,0.474,1.4,1.7,0.795,0.6,2.5,3.1,2.1,0.9,0.2,1.8,3.5,11.9,7.5,0.546,0.557,0.168,1.8,7.3,4.7,8,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-1.8,-1,-2.7,-0.2,0.82,2.26,0.97,1.31,1.172,23.71794872,1.166666667
231,Jimmy Butler,SG,28,MIN,59,2164,59,7.3,15.3,0.474,1.2,3.3,0.35,6.1,12,0.509,6,7.1,0.854,1.3,3.9,5.2,4.8,1.9,0.4,1.8,1.3,21.7,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,7.1,1.8,8.9,0.198,4.9,0.1,5,3.8,2.38,8.46,3.88,2.09,1.409,36.6779661,2.666666667
232,JJ Barea,PG,33,DAL,69,1603,10,6.8,15.5,0.439,2.6,7,0.367,4.2,8.5,0.499,1.8,2.3,0.784,0.3,4.2,4.5,9.7,0.8,0.1,3.2,1.9,18,17.8,0.545,0.454,0.148,1,13.4,7,45.1,1.1,0.2,16.3,24.9,2.3,1,3.3,0.098,2.4,-2.3,0.1,0.8,1.33,4.19,2.1,0.84,1.148,23.23188406,3.03125
233,JJ Redick,SG,33,PHI,70,2116,70,6.9,15,0.46,3.3,7.8,0.42,3.6,7.1,0.504,3.4,3.7,0.904,0.2,2.9,3,3.6,0.6,0.1,1.8,2.1,20.4,15.9,0.614,0.523,0.248,0.5,8.3,4.5,15.1,0.8,0.2,9.6,21.7,4.8,1.8,6.6,0.15,2.6,-2.6,0,1.1,2.11,1.61,2.32,1.7,1.346,30.22857143,2
234,Joakim Noah,C,32,NYK,7,40,0,4.5,9,0.5,0,0,NA,4.5,9,0.5,1.8,3.6,0.5,5.4,7.2,12.6,3.6,1.8,1.8,3.6,4.5,10.8,15.6,0.51,0,0.4,16.7,22.1,19.4,14,2.5,4.3,25.4,17.2,0,0.1,0.1,0.072,-2.4,3.4,1,0,0,1.43,0.29,0.43,1.2,5.714285714,1
235,Jodie Meeks,SG,30,WAS,77,1119,0,5.1,12.6,0.399,2.3,6.8,0.343,2.7,5.9,0.464,3.2,3.8,0.863,0.5,3.6,4.1,2.3,0.9,0.1,1.2,1.8,15.7,12.4,0.548,0.534,0.298,1.5,11.2,6.4,9.1,1.3,0.3,7.7,19,1.3,0.8,2,0.087,-0.4,-2.5,-2.8,-0.2,0.89,1.67,1.27,0.59,1.227,14.53246753,1.916666667
236,Joe Harris,SG,26,BRK,78,1975,14,5.6,11.3,0.491,2.7,6.5,0.419,2.8,4.8,0.589,1.6,1.9,0.827,0.9,3.8,4.7,2.3,0.6,0.4,1.7,2.8,15.4,13.3,0.634,0.576,0.167,2.7,11.3,7,10.2,0.9,0.8,12,16.6,3,0.9,4,0.097,1.3,-1.2,0.1,1.1,1.33,3.55,1.44,1.23,1.308,25.32051282,1.352941176
237,Joe Ingles,SF,30,UTA,82,2578,81,4.7,10,0.467,2.8,6.5,0.44,1.8,3.5,0.516,0.9,1.2,0.795,0.3,4.5,4.8,5.5,1.3,0.3,2.2,2.5,13.1,14.4,0.623,0.646,0.116,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,4,3.6,7.6,0.141,2.1,1,3.1,3.3,1.38,2.58,1.96,0.51,1.308,31.43902439,2.5
238,Joe Johnson,SF,36,TOT,55,1205,4,4.4,10.8,0.406,1.2,4.3,0.276,3.2,6.4,0.493,1.2,1.3,0.889,0.4,4.7,5.1,2.5,0.5,0.2,1.5,2,11.1,8.1,0.49,0.403,0.125,1.3,14.7,8.1,10.2,0.7,0.5,11.4,15.9,-0.3,1.3,1,0.04,-3.4,-0.4,-3.8,-0.5,0.21,2.43,0.71,0.64,1.029,21.90909091,1.666666667
239,Joe Young,PG,25,IND,53,558,1,5.2,12,0.43,1.6,4.3,0.379,3.5,7.7,0.458,1.4,1.9,0.759,0.8,3.3,4.1,2.5,0.9,0.1,1.7,2.5,13.4,10.1,0.521,0.355,0.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18,0.1,0.4,0.5,0.043,-2.4,-2.3,-4.7,-0.4,0.41,1.18,0.57,0.51,1.133,10.52830189,1.470588235
240,Joel Bolomboy,PF,24,MIL,6,38,0,2.8,5.7,0.5,0,0.9,0,2.8,4.7,0.6,2.8,5.7,0.5,5.7,3.8,9.5,0,1.9,0,1.9,2.8,8.5,11.7,0.521,0.167,1,18.6,12.3,15.4,0,2.6,0,18.8,12.6,0,0,0.1,0.079,-3.1,-4.6,-7.7,-0.1,0.33,0.67,0,0.83,1.5,6.333333333,0
241,Joel Embiid,C,23,PHI,63,1912,63,9.6,19.9,0.483,1.2,4,0.308,8.4,15.9,0.527,6.8,8.8,0.769,2.7,10.3,13,3.7,0.8,2.1,4.4,3.9,27.2,22.9,0.573,0.203,0.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2,0.52,10.43,2.36,3.02,1.369,30.34920635,0.840909091
242,Joffrey Lauvergne,C,26,SAS,55,534,1,6.6,12.8,0.516,0,0.3,0,6.6,12.5,0.53,2,3.2,0.638,4.2,7.3,11.5,2.8,0.6,0.2,2.2,3,15.2,16.5,0.536,0.026,0.247,13,22.6,17.8,12.2,0.9,0.5,13.5,20.4,0.6,0.7,1.3,0.12,-1.4,-0.1,-1.6,0.1,0.17,3.74,0.66,1.09,1.198,9.709090909,1.272727273
243,John Collins,PF,20,ATL,74,1785,26,6.3,11,0.576,0.3,0.9,0.34,6,10,0.598,2.7,3.8,0.715,3.5,7.4,10.9,2,0.9,1.6,2.1,4.3,15.7,18.3,0.62,0.086,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.2,1.9,1.7,1.7,0.94,7.59,2.11,2.32,1.436,24.12162162,0.952380952
244,John Henson,C,27,MIL,76,1970,69,5.2,9.2,0.572,0,0.1,0.143,5.2,9,0.578,1.6,2.9,0.57,2.7,6.6,9.4,2.1,0.8,2,1.5,3.7,12.2,15.7,0.582,0.014,0.315,9,21.5,15.3,8.6,1.1,4.7,12.8,15,2.8,2.2,4.9,0.12,-1.4,1.8,0.4,1.2,0.41,6.95,1.05,1.76,1.35,25.92105263,1.4
245,John Holland,SF,29,CLE,24,174,0,3.5,12.2,0.288,2.3,7.4,0.306,1.2,4.8,0.261,1.9,2.7,0.692,1.2,3.7,5,1,1.4,0.4,1.7,2.1,11.2,5.9,0.417,0.61,0.22,3.9,11.4,7.7,3.9,2,1,11,18.5,-0.3,0.1,-0.2,-0.05,-4.7,-2.6,-7.3,-0.2,0.27,0.27,0.2,0,0.833,7.25,0.588235294
246,John Wall,PG,27,WAS,41,1410,41,7.1,17,0.42,1.6,4.3,0.371,5.6,12.8,0.436,4.5,6.2,0.726,0.6,3.3,3.8,10,1.5,1.1,4,2,20.3,19.1,0.515,0.25,0.361,1.8,10.2,6,44.5,2,2.8,17,29.1,1.2,1.5,2.7,0.092,1.6,0,1.5,1.2,3.3,7.89,3.62,1.59,1.187,34.3902439,2.5
247,Johnathan Motley,PF,22,DAL,11,176,4,8.2,15.3,0.533,0.2,1.2,0.167,8,14.1,0.565,3.1,5.7,0.536,2.9,7.2,10,1.4,0.6,0.4,1.8,3.7,19.6,17.2,0.55,0.08,0.373,8.5,22.9,15.5,7.1,0.9,1,9.3,24.9,0.1,0.2,0.3,0.084,-2.8,-2.1,-4.9,-0.1,0.5,1.5,0,0.5,1.667,16,0.777777778
248,Johnny O'Bryant,PF,24,CHO,36,379,0,6.5,16.2,0.398,1.3,4.1,0.326,5.1,12.2,0.422,2,2.4,0.84,2.8,6.1,8.8,1.3,0.9,0.6,1.4,4.3,16.2,11.9,0.47,0.251,0.146,8.1,18.6,13.3,5.9,1.2,1.3,7.6,22.5,-0.1,0.4,0.3,0.038,-3.2,-2,-5.3,-0.3,0.22,1.78,0.69,0.81,1,10.52777778,0.928571429
249,Jon Leuer,PF,28,DET,8,136,0,4,9.5,0.417,0,0.8,0,4,8.7,0.455,3.4,4,0.867,1.9,6.6,8.5,1.3,0.3,0.8,1.9,4.2,11.4,8.9,0.505,0.083,0.417,5.6,20.7,13,5.3,0.4,2,14.1,16.1,0,0.1,0.1,0.051,-5.6,-0.4,-5.9,-0.1,1,3,1.5,0.75,1.194,17,0.684210526
250,Jonas Jerebko,PF,30,UTA,74,1134,19,5,10.8,0.466,2.1,5,0.414,3,5.8,0.511,1.5,1.8,0.807,1.7,6.1,7.8,1.3,0.8,0.4,0.9,4,13.6,13.2,0.586,0.46,0.167,5.4,19.1,12.3,5.7,1.1,0.9,6.9,15.6,1.8,1.6,3.4,0.144,-0.3,-0.3,-0.6,0.4,0.75,2.39,1.3,0.85,1.249,15.32432432,1.444444444
251,Jonas Valanciunas,C,25,TOR,77,1727,77,8.1,14.3,0.568,0.6,1.5,0.405,7.5,12.8,0.587,3.5,4.4,0.806,3.8,9.9,13.8,1.7,0.6,1.4,2.4,4,20.4,22.5,0.628,0.108,0.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,4.6,3,7.6,0.21,0.7,0.8,1.5,1.5,0.25,8.16,0.98,2.52,1.417,22.42857143,0.708333333
252,Jonathan Isaac,PF,20,ORL,27,536,10,3.7,9.7,0.379,1.1,3.1,0.348,2.6,6.6,0.394,1.3,1.7,0.76,1.1,5.6,6.6,1.2,2.2,2,1.8,3.2,9.7,9.8,0.465,0.317,0.172,3.3,17.2,10.2,4.8,3,4.5,14.8,15,-0.6,0.8,0.2,0.021,-4.9,3.1,-1.8,0,0.52,2.26,1.04,0.61,0.973,19.85185185,0.666666667
253,Jonathon Simmons,SG,28,ORL,69,2029,50,6.3,13.5,0.465,1.2,3.6,0.338,5.1,9.9,0.512,3.3,4.3,0.768,1.1,3.2,4.2,3,1,0.3,2.6,3.1,17.1,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22,0.8,1.1,1.9,0.045,-1,-1.3,-2.3,-0.2,1.93,6.62,2,1.57,1.272,29.4057971,1.153846154
254,Jordan Bell,C,23,GSW,57,809,13,5.2,8.2,0.627,0,0.2,0,5.2,8.1,0.641,1.3,2,0.682,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7,18,0.641,0.022,0.238,8.9,19,14.3,16.9,2.1,5.5,20,13.9,1.6,1.4,2.9,0.174,0,3.7,3.7,1.2,1.05,4.15,0.88,0.93,1.504,14.19298246,1.956521739
255,Jordan Clarkson,SG,25,TOT,81,1888,2,8.2,18.2,0.451,2.1,6.1,0.352,6.1,12.1,0.5,2.9,3.6,0.8,1.1,3.1,4.1,4.2,1.1,0.1,2.4,2,21.4,16.4,0.542,0.333,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,1.9,1.2,3,0.077,0.8,-2.7,-1.9,0.1,1.99,5.85,2.09,1.52,1.18,23.30864198,1.75
256,Jordan Crawford,SG,29,NOP,5,53,0,8.2,18.3,0.444,5.4,9.5,0.571,2.7,8.8,0.308,0.7,0.7,1,1.4,1.4,2.7,8.8,0.7,0.7,3.4,4.8,22.4,19.1,0.601,0.519,0.037,4.2,4,4.1,37.7,0.9,1.5,15.4,26.5,0.1,0,0.2,0.15,3.9,-4.8,-0.9,0,0,2,0,0,1.25,10.6,2.588235294
257,Jordan Mickey,PF,23,MIA,23,284,3,4.9,10.4,0.476,0.3,2,0.125,4.7,8.4,0.561,1.6,2.4,0.684,2.3,8.1,10.3,1.1,0.8,1.3,2.3,4.6,11.8,10.6,0.515,0.195,0.232,7.1,25.3,16.2,4.8,1.1,3,16.6,17.1,-0.1,0.4,0.3,0.054,-5.5,0.4,-5.1,-0.2,0.2,3.1,0.45,0.85,1.127,12.34782609,0.47826087
258,Jose Calderon,PG,36,CLE,57,914,32,3.7,7.3,0.503,1.8,3.8,0.464,1.9,3.5,0.545,0.9,1.2,0.8,0.6,2.8,3.3,4.6,1.1,0.1,1.6,3.2,10,11.3,0.643,0.524,0.162,1.7,8.5,5.2,17.4,1.4,0.2,17.1,11.6,1.5,0.3,1.8,0.095,0.1,-2,-1.9,0,0.31,0.89,0.51,0.13,1.405,16.03508772,2.875
259,Josh Gray,PG,24,PHO,5,86,0,4.6,17.2,0.268,1.3,5.4,0.231,3.3,11.7,0.286,2.9,4.6,0.636,0.8,3.3,4.2,5,3.3,0.8,2.9,3.3,13.4,7.2,0.349,0.317,0.268,2.4,10.1,6.2,20.8,4.5,1.9,13.2,26.1,-0.3,0.1,-0.2,-0.118,-5.9,0.4,-5.5,-0.1,0,2.4,0.4,1,0.78,17.2,1.724137931
260,Josh Hart,SG,22,LAL,63,1461,23,4.3,9.2,0.469,1.9,4.9,0.396,2.4,4.4,0.551,1.6,2.3,0.702,1,5.4,6.5,2,1.2,0.4,1.2,2.6,12.2,12.2,0.596,0.525,0.251,3.1,16,9.6,7.6,1.5,0.9,10.1,13.5,1.9,1.5,3.4,0.111,-0.3,0.2,-0.1,0.7,1.76,2.44,1.27,0.69,1.282,23.19047619,1.666666667
