,Player,Pos,Age,Tm,G,MP,GS,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,Fast.Break.Pts,Points.In.Paint,Points.off.TO,X2nd.Chance.PTS,Points.scored.per.shot,MPG,A2TO
156,Furkan Korkmaz,SG,20,PHI,14,80,0,3.6,12.6,0.286,2.3,7.7,0.294,1.4,5,0.273,0.9,1.8,0.5,0.9,4.1,5,1.8,0.9,0.5,0.9,5.4,10.4,3.4,0.386,0.607,0.143,2.8,11.7,7.4,6.7,1.2,1,6.3,16.9,-0.1,0.1,0,-0.006,-5,-1.8,-6.9,-0.1,0.33,0.67,1.17,0.33,0.75,5.714285714,2
157,Garrett Temple,SG,31,SAC,65,1615,35,4.4,10.6,0.418,2,5.1,0.392,2.5,5.6,0.442,1.3,1.7,0.769,0.5,2.9,3.4,2.8,1.3,0.6,1.8,3,12.2,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.3,1.8,1.6,13.4,16.4,0.3,0.9,1.2,0.035,-1.3,-0.6,-1.9,0.1,1,1.87,1.55,0.97,1.159,24.84615385,1.555555556
158,Gary Harris,SG,23,DEN,67,2304,65,6.9,14.2,0.485,2.4,6.2,0.396,4.4,8,0.553,2.1,2.5,0.827,0.6,2.2,2.7,3,1.9,0.2,1.9,1.9,18.3,16.5,0.597,0.434,0.178,1.8,6.8,4.3,13,2.6,0.5,10.8,20.7,3.9,1.5,5.5,0.114,2.4,-1.5,0.9,1.7,3.15,6.74,3.4,1.75,1.291,34.3880597,1.578947368
159,Gary Payton,PG,25,TOT,23,221,6,4.9,12.1,0.405,1,4.1,0.24,3.9,8,0.49,0.5,1.5,0.333,2.1,5,7.2,3.4,1.1,0.5,1.1,4.9,11.2,9.8,0.443,0.338,0.122,6.5,15.5,11,13.7,1.5,1.1,8.2,16.8,0,0.2,0.2,0.041,-2.7,-0.9,-3.6,-0.1,0.22,1.78,0.67,0.33,0.851,9.608695652,3.090909091
160,George Hill,PG,31,TOT,67,1812,60,4.7,10.2,0.46,1.7,4.1,0.415,3,6.1,0.49,2.2,2.8,0.786,0.8,2.8,3.6,3.7,1.2,0.5,1.7,2.5,13.3,13.3,0.58,0.4,0.273,2.6,8.9,5.7,15,1.7,1.3,13.3,16.3,2.3,0.9,3.2,0.085,0.3,-0.9,-0.6,0.6,1.21,3.09,1.39,0.86,1.316,27.04477612,2.176470588
161,Georges Niang,PF,24,UTA,9,32,0,4.5,12.4,0.364,0,4.5,0,4.5,7.9,0.571,1.1,2.3,0.5,3.4,6.8,10.1,3.4,2.3,0,3.4,1.1,10.1,9.2,0.379,0.364,0.182,10.8,21.1,16,14,3.1,0,20.2,20.9,-0.1,0.1,0,-0.029,-5.5,1.4,-4,0,0,0.8,0.4,0,1,3.555555556,1
162,Georgios Papagiannis,C,20,TOT,17,122,0,5.3,12.4,0.429,0,0,NA,5.3,12.4,0.429,0,0,NA,3.8,7.1,10.9,2.7,1.2,1.8,2.4,3.5,10.6,12.2,0.429,0,0,11.6,23.4,17.2,11.2,1.6,4.7,16,18.4,-0.1,0.1,0,0.005,-5.5,1.8,-3.7,-0.1,0,1.5,0.13,0.25,0.829,7.176470588,1.125
163,Gerald Green,SG,32,HOU,41,929,2,6.5,16,0.407,4.3,11.5,0.369,2.2,4.5,0.504,2,2.3,0.85,0.6,4.6,5.2,1,0.9,0.6,1.2,3.4,19.3,14.1,0.566,0.722,0.145,1.8,14.2,8.1,4.3,1.3,1.4,6.6,22.4,1,1,2.1,0.107,0.5,-2.4,-1.9,0,1,1.64,1.29,0.96,1.165,22.65853659,0.833333333
164,Gian Clavell,SG,24,DAL,7,64,0,3.4,10.1,0.333,3.4,8.4,0.4,0,1.7,0,1.1,1.1,1,0.6,3.4,3.9,1.7,1.1,0,1.1,4.5,11.3,7.4,0.53,0.833,0.111,1.7,10.8,6.1,6.7,1.6,0,9.6,14.8,0,0,0.1,0.042,-1.7,-1.9,-3.6,0,0,0,0.43,0.43,1.111,9.142857143,1.545454545
165,Giannis Antetokounmpo,PF,23,MIL,75,2756,75,9.7,18.3,0.529,0.6,1.8,0.307,9.1,16.5,0.554,6.4,8.4,0.76,2,7.8,9.8,4.7,1.4,1.4,2.9,3,26.3,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4,4.66,15.94,4.05,3.05,1.445,36.74666667,1.620689655
