GAME_ID,HOME_TEAM_ID,SEASON,TEAM_ID_home,TEAM_ID_away,WINS
22100899,1610612764,2021,1610612764,1610612759,0
22100900,1610612752,2021,1610612752,1610612748,0
22100901,1610612750,2021,1610612750,1610612755,0
22100902,1610612756,2021,1610612756,1610612740,0
22100903,1610612762,2021,1610612762,1610612742,1
22100904,1610612747,2021,1610612747,1610612746,0
22100889,1610612765,2021,1610612765,1610612739,1
22100890,1610612751,2021,1610612751,1610612738,0
22100891,1610612741,2021,1610612741,1610612737,1
22100892,1610612750,2021,1610612750,1610612763,1
22100893,1610612760,2021,1610612760,1610612756,0
22100894,1610612757,2021,1610612757,1610612744,0
22100895,1610612758,2021,1610612758,1610612743,0
22100885,1610612766,2021,1610612766,1610612748,0
22100464,1610612751,2021,1610612751,1610612764,0
22100886,1610612740,2021,1610612740,1610612742,0
22100887,1610612749,2021,1610612749,1610612755,0
22100888,1610612746,2021,1610612746,1610612745,1
22100874,1610612753,2021,1610612753,1610612737,0
22100875,1610612738,2021,1610612738,1610612765,0
22100876,1610612754,2021,1610612754,1610612764,1
22100877,1610612752,2021,1610612752,1610612751,0
22100878,1610612741,2021,1610612741,1610612758,1
22100879,1610612763,2021,1610612763,1610612757,0
22100880,1610612750,2021,1610612750,1610612761,0
22100881,1610612760,2021,1610612760,1610612759,0
22100882,1610612756,2021,1610612756,1610612745,1
22100883,1610612744,2021,1610612744,1610612743,0
22100884,1610612747,2021,1610612747,1610612762,1
22100867,1610612737,2021,1610612737,1610612739,1
22100868,1610612748,2021,1610612748,1610612742,0
22100869,1610612755,2021,1610612755,1610612738,0
22100870,1610612749,2021,1610612749,1610612754,1
22100871,1610612750,2021,1610612750,1610612766,1
22100872,1610612740,2021,1610612740,1610612763,0
22100873,1610612756,2021,1610612756,1610612746,1
22100858,1610612764,2021,1610612764,1610612765,1
22100859,1610612751,2021,1610612751,1610612758,1
22100860,1610612752,2021,1610612752,1610612760,0
22100861,1610612741,2021,1610612741,1610612759,1
22100862,1610612749,2021,1610612749,1610612757,0
22100863,1610612740,2021,1610612740,1610612761,1
22100864,1610612743,2021,1610612743,1610612753,1
22100865,1610612762,2021,1610612762,1610612745,1
22100866,1610612746,2021,1610612746,1610612744,1
22100856,1610612738,2021,1610612738,1610612737,1
22100857,1610612754,2021,1610612754,1610612750,0
22100845,1610612757,2021,1610612757,1610612752,1
22100846,1610612766,2021,1610612766,1610612763,0
22100847,1610612764,2021,1610612764,1610612758,0
22100848,1610612740,2021,1610612740,1610612759,0
22100849,1610612755,2021,1610612755,1610612739,1
22100850,1610612761,2021,1610612761,1610612743,0
22100851,1610612748,2021,1610612748,1610612751,1
22100852,1610612741,2021,1610612741,1610612760,1
22100853,1610612742,2021,1610612742,1610612746,0
22100854,1610612744,2021,1610612744,1610612747,1
22100855,1610612756,2021,1610612756,1610612753,1
22100838,1610612765,2021,1610612765,1610612766,0
22100839,1610612754,2021,1610612754,1610612739,0
22100840,1610612755,2021,1610612755,1610612760,1
22100841,1610612737,2021,1610612737,1610612759,0
22100842,1610612738,2021,1610612738,1610612743,1
22100843,1610612741,2021,1610612741,1610612750,1
22100844,1610612762,2021,1610612762,1610612753,1
22100831,1610612765,2021,1610612765,1610612763,0
22100832,1610612764,2021,1610612764,1610612751,1
22100833,1610612740,2021,1610612740,1610612748,0
22100834,1610612745,2021,1610612745,1610612761,0
22100835,1610612742,2021,1610612742,1610612746,1
22100836,1610612756,2021,1610612756,1610612749,1
22100837,1610612744,2021,1610612744,1610612752,0
22100825,1610612739,2021,1610612739,1610612759,1
22100826,1610612766,2021,1610612766,1610612741,0
22100827,1610612760,2021,1610612760,1610612761,0
22100828,1610612762,2021,1610612762,1610612744,1
22100829,1610612757,2021,1610612757,1610612747,1
22100830,1610612758,2021,1610612758,1610612750,1
22100815,1610612755,2021,1610612755,1610612756,0
22100816,1610612737,2021,1610612737,1610612754,1
22100817,1610612751,2021,1610612751,1610612738,0
22100818,1610612763,2021,1610612763,1610612746,1
22100819,1610612740,2021,1610612740,1610612745,1
22100820,1610612742,2021,1610612742,1610612765,1
22100821,1610612743,2021,1610612743,1610612752,1
22100822,1610612747,2021,1610612747,1610612749,0
22100823,1610612757,2021,1610612757,1610612753,0
22100824,1610612758,2021,1610612758,1610612750,0
22100810,1610612766,2021,1610612766,1610612761,0
22100811,1610612764,2021,1610612764,1610612748,0
22100812,1610612741,2021,1610612741,1610612756,0
22100813,1610612760,2021,1610612760,1610612744,0
22100814,1610612762,2021,1610612762,1610612752,1
22100802,1610612741,2021,1610612741,1610612755,0
22100803,1610612750,2021,1610612750,1610612765,1
22100804,1610612743,2021,1610612743,1610612751,1
22100805,1610612739,2021,1610612739,1610612754,1
22100806,1610612753,2021,1610612753,1610612738,0
22100807,1610612742,2021,1610612742,1610612737,1
22100808,1610612745,2021,1610612745,1610612740,0
22100809,1610612746,2021,1610612746,1610612749,0
22100796,1610612753,2021,1610612753,1610612763,0
22100797,1610612766,2021,1610612766,1610612748,0
22100798,1610612764,2021,1610612764,1610612756,0
22100799,1610612747,2021,1610612747,1610612752,1
22100800,1610612757,2021,1610612757,1610612749,0
22100801,1610612758,2021,1610612758,1610612760,1
22100787,1610612766,2021,1610612766,1610612739,0
22100788,1610612765,2021,1610612765,1610612738,0
22100789,1610612754,2021,1610612754,1610612741,0
22100790,1610612761,2021,1610612761,1610612737,1
22100792,1610612759,2021,1610612759,1610612745,1
22100793,1610612762,2021,1610612762,1610612751,1
22100794,1610612743,2021,1610612743,1610612740,0
22100791,1610612742,2021,1610612742,1610612755,1
22100795,1610612757,2021,1610612757,1610612760,0
22100521,1610612759,2021,1610612759,1610612748,0
22100782,1610612765,2021,1610612765,1610612750,0
22100430,1610612761,2021,1610612761,1610612741,1
22100783,1610612737,2021,1610612737,1610612756,1
22100785,1610612744,2021,1610612744,1610612758,1
22100786,1610612746,2021,1610612746,1610612747,1
22100773,1610612754,2021,1610612754,1610612753,0
22100774,1610612755,2021,1610612755,1610612764,0
22100775,1610612738,2021,1610612738,1610612766,1
22100776,1610612752,2021,1610612752,1610612763,0
22100777,1610612745,2021,1610612745,1610612739,1
22100778,1610612742,2021,1610612742,1610612760,0
22100779,1610612762,2021,1610612762,1610612743,1
22100780,1610612758,2021,1610612758,1610612751,1
22100781,1610612747,2021,1610612747,1610612757,1
22100766,1610612765,2021,1610612765,1610612740,0
22100768,1610612749,2021,1610612749,1610612764,1
22100784,1610612761,2021,1610612761,1610612748,1
22100769,1610612741,2021,1610612741,1610612753,1
22100770,1610612750,2021,1610612750,1610612743,1
22100771,1610612759,2021,1610612759,1610612744,0
22100772,1610612756,2021,1610612756,1610612751,1
22100759,1610612739,2021,1610612739,1610612740,1
22100760,1610612754,2021,1610612754,1610612746,1
22100761,1610612755,2021,1610612755,1610612763,1
22100762,1610612738,2021,1610612738,1610612748,1
22100763,1610612752,2021,1610612752,1610612758,1
22100767,1610612737,2021,1610612737,1610612761,0
22100764,1610612745,2021,1610612745,1610612744,0
22100765,1610612760,2021,1610612760,1610612757,1
22100751,1610612737,2021,1610612737,1610612747,1
22100752,1610612766,2021,1610612766,1610612746,0
22100753,1610612741,2021,1610612741,1610612757,1
22100754,1610612765,2021,1610612765,1610612739,1
22100755,1610612753,2021,1610612753,1610612742,1
22100756,1610612749,2021,1610612749,1610612743,0
22100757,1610612750,2021,1610612750,1610612762,1
22100758,1610612756,2021,1610612756,1610612759,1
22100745,1610612740,2021,1610612740,1610612738,0
22100746,1610612742,2021,1610612742,1610612754,1
22100747,1610612755,2021,1610612755,1610612758,1
22100748,1610612748,2021,1610612748,1610612761,0
22100749,1610612763,2021,1610612763,1610612764,1
22100750,1610612744,2021,1610612744,1610612751,1
22100736,1610612753,2021,1610612753,1610612765,1
22100735,1610612766,2021,1610612766,1610612747,1
22100737,1610612737,2021,1610612737,1610612738,1
22100729,1610612740,2021,1610612740,1610612743,0
22100738,1610612748,2021,1610612748,1610612746,1
