Pick,Player
12,Hilton Armstrong
13,Thabo Sefolosha
14,Ronnie Brewer
15,Cedric Simmons
16,Rodney Carney
17,Shawne Williams
18,Oleksiy Pecherov
19,Quincy Douby
20,Renaldo Balkman
21,Rajon Rondo
22,Marcus Williams
23,Josh Boone
24,Kyle Lowry
25,Shannon Brown
26,Jordan Farmar
27,Sergio Rodriguez
28,Maurice Ager
29,Mardy Collins
30,Joel Freeland
31,James White
32,Steve Novak
33,Solomon Jones
34,Paul Davis
35,P.J. Tucker
36,Craig Smith
37,Bobby Jones
38,Kosta Perovic
39,David Noel
40,Denham Brown
41,James Augustine
42,Daniel Gibson
43,Marcus Vinicius
44,Lior Eliyahu
45,Alexander Johnson
46,Dee Brown
47,Paul Millsap
48,Vladimir Veremeenko
49,Leon Powe
50,Ryan Hollins
51,Cheikh Samb
52,Guillermo Diaz
53,Yotam Halperin
54,Hassan Adams
55,Ejike Ugboaja
56,Edin Bavcic
57,Loukas Mavrokefalidis
58,J.R. Pinnock
59,Damir Markota
60,Will Blalock
1,Greg Oden
2,Kevin Durant
3,Al Horford
4,Mike Conley
5,Jeff Green
6,Yi Jianlian
7,Corey Brewer
8,Brandan Wright
9,Joakim Noah
10,Spencer Hawes
11,Acie Law
12,Thaddeus Young
13,Julian Wright
14,Al Thornton
15,Rodney Stuckey
16,Nick Young
17,Sean Williams
18,Marco Belinelli
19,Javaris Crittenton
20,Jason Smith
21,Daequan Cook
22,Jared Dudley
23,Wilson Chandler
24,Rudy Fernandez
25,Morris Almond
26,Aaron Brooks
27,Arron Afflalo
28,Tiago Splitter
29,Alando Tucker
30,Petteri Koponen
31,Carl Landry
32,Gabe Pruitt
33,Marcus Williams
34,Nick Fazekas
35,Glen Davis
36,Jermareo Davidson
37,Josh McRoberts
38,Kyrylo Fesenko
39,Stanko Barac
40,Sun Yue
41,Chris Richard
42,Derrick Byars
43,Adam Haluska
44,Reyshawn Terry
45,Jared Jordan
46,Stephane Lasme
47,Dominic McGuire
48,Marc Gasol
49,Aaron Gray
50,Renaldas Seibutis
51,JamesOn Curry
52,Taurean Green
53,Demetris Nichols
54,Brad Newley
55,Herbert Hill
56,Ramon Sessions
57,Sammy Mejia
58,Giorgos Printezis
59,D.J. Strawberry
60,Milovan Rakovic
1,Derrick Rose
2,Michael Beasley
3,O.J. Mayo
4,Russell Westbrook
5,Kevin Love
6,Danilo Gallinari
7,Eric Gordon
8,Joe Alexander
9,D.J. Augustin
10,Brook Lopez
11,Jerryd Bayless
12,Jason Thompson
13,Brandon Rush
14,Anthony Randolph
15,Robin Lopez
16,Marreese Speights
17,Roy Hibbert
18,JaVale McGee
19,J.J. Hickson
20,Alexis Ajinca
21,Ryan Anderson
22,Courtney Lee
23,Kosta Koufos
24,Serge Ibaka
25,Nicolas Batum
26,George Hill
27,Darrell Arthur
28,Donte Greene
29,D.J. White
30,J.R. Giddens
31,Nikola Pekovic
32,Walter Sharpe
33,Joey Dorsey
34,Mario Chalmers
35,DeAndre Jordan
36,Omer Asik
37,Luc Mbah a Moute
38,Kyle Weaver
39,Sonny Weems
40,Chris Douglas-Roberts
41,Nathan Jawai
42,Sean Singletary
43,Patrick Ewing
44,Ante Tomic
45,Goran Dragic
46,Trent Plaisted
47,Bill Walker
48,Malik Hairston
49,Richard Hendrix
50,DeVon Hardin
51,Shan Foster
52,Darnell Jackson
53,Tadija Dragicevic
54,Maarty Leunen
55,Mike Taylor
56,Sasha Kaun
57,James Gist
58,Joe Crawford
59,Deron Washington
60,Semih Erden
1,Blake Griffin
2,Hasheem Thabeet
3,James Harden
4,Tyreke Evans
5,Ricky Rubio
6,Jonny Flynn
7,Stephen Curry
8,Jordan Hill
9,DeMar DeRozan
10,Brandon Jennings
11,Terrence Williams
12,Gerald Henderson
13,Tyler Hansbrough
14,Earl Clark
15,Austin Daye
16,James Johnson
17,Jrue Holiday
18,Ty Lawson
19,Jeff Teague
20,Eric Maynor
21,Darren Collison
22,Victor Claver
23,Omri Casspi
24,Byron Mullens
25,Rodrigue Beaubois
26,Taj Gibson
27,DeMarre Carroll
28,Wayne Ellington
29,Toney Douglas
30,Christian Eyenga
31,Jeff Pendergraph
32,Jermaine Taylor
33,Dante Cunningham
34,Sergio Llull
35,DaJuan Summers
36,Sam Young
37,DeJuan Blair
38,Jon Brockman
39,Jonas Jerebko
40,Derrick Brown
41,Jodie Meeks
42,Patrick Beverley
43,Marcus Thornton
44,Chase Budinger
45,Nick Calathes
46,Danny Green
47,Henk Norel
48,Taylor Griffin
49,Sergiy Gladyr
50,Goran Suton
51,Jack McClinton
52,A.J. Price
53,Nando De Colo
54,Robert Vaden
55,Patrick Mills
56,Ahmad Nivins
57,Emir Preldzic
58,Lester Hudson
59,Chinemelu Elonu
60,Robert Dozier
1,John Wall
2,Evan Turner
3,Derrick Favors
4,Wesley Johnson
5,DeMarcus Cousins
6,Ekpe Udoh
7,Greg Monroe
8,Al-Farouq Aminu
9,Gordon Hayward
10,Paul George
11,Cole Aldrich
12,Xavier Henry
13,Ed Davis
14,Patrick Patterson
15,Larry Sanders
16,Luke Babbitt
17,Kevin Seraphin
18,Eric Bledsoe
19,Avery Bradley
20,James Anderson
21,Craig Brackins
22,Elliot Williams
23,Trevor Booker
24,Damion James
25,Dominique Jones
26,Quincy Pondexter
27,Jordan Crawford
28,Greivis Vasquez
29,Daniel Orton
30,Lazar Hayward
31,Tibor Pleiss
32,Dexter Pittman
33,Hassan Whiteside
34,Armon Johnson
35,Nemanja Bjelica
36,Terrico White
37,Darington Hobson
38,Andy Rautins
39,Landry Fields
40,Lance Stephenson
41,Jarvis Varnado
42,Da'Sean Butler
43,Devin Ebanks
44,Jerome Jordan
45,Paulao Prestes
46,Gani Lawal
47,Tiny Gallon
48,Latavious Williams
49,Ryan Richards
50,Solomon Alabi
51,Magnum Rolle
52,Luke Harangody
53,Pape Sy
54,Willie Warren
55,Jeremy Evans
56,Hamady N'Diaye
57,Ryan Reid
58,Derrick Caracter
59,Stanley Robinson
60,Dwayne Collins
1,Kyrie Irving
2,Derrick Williams
3,Enes Kanter
4,Tristan Thompson
5,Jonas Valanciunas
6,Jan Vesely
7,Bismack Biyombo
8,Brandon Knight
9,Kemba Walker
10,Jimmer Fredette
11,Klay Thompson
12,Alec Burks
13,Markieff Morris
14,Marcus Morris
15,Kawhi Leonard
16,Nikola Vucevic
17,Iman Shumpert
18,Chris Singleton
19,Tobias Harris
20,Donatas Motiejunas
21,Nolan Smith
22,Kenneth Faried
23,Nikola Mirotic
24,Reggie Jackson
25,MarShon Brooks
26,Jordan Hamilton
27,JaJuan Johnson
28,Norris Cole
29,Cory Joseph
30,Jimmy Butler
31,Bojan Bogdanovic
32,Justin Harper
33,Kyle Singler
34,Shelvin Mack
35,Tyler Honeycutt
36,Jordan Williams
37,Trey Thompkins
38,Chandler Parsons
39,Jeremy Tyler
40,Jon Leuer
41,Darius Morris
42,Davis Bertans
43,Malcolm Lee
44,Charles Jenkins
45,Josh Harrellson
46,Andrew Goudelock
47,Travis Leslie
48,Keith Benson
49,Josh Selby
50,Lavoy Allen
51,Jon Diebler
52,Vernon Macklin
53,DeAndre Liggins
54,Milan Macvan
55,E'Twaun Moore
56,Chukwudiebere Maduabum
57,Targuy Ngombo
58,Ater Majok
59,Adam Hanga
60,Isaiah Thomas
1,Anthony Davis
2,Michael Kidd-Gilchrist
3,Bradley Beal
4,Dion Waiters
5,Thomas Robinson
6,Damian Lillard
7,Harrison Barnes
8,Terrence Ross
9,Andre Drummond
10,Austin Rivers
11,Meyers Leonard
12,Jeremy Lamb
13,Kendall Marshall
14,John Henson
15,Maurice Harkless
16,Royce White
17,Tyler Zeller
18,Terrence Jones
19,Andrew Nicholson
20,Evan Fournier
21,Jared Sullinger
22,Fab Melo
23,John Jenkins
24,Jared Cunningham
25,Tony Wroten
26,Miles Plumlee
27,Arnett Moultrie
28,Perry Jones
29,Marquis Teague
30,Festus Ezeli
31,Jeff Taylor
32,Tomas Satoransky
33,Bernard James
34,Jae Crowder
35,Draymond Green
36,Orlando Johnson
37,Quincy Acy
38,Quincy Miller
39,Khris Middleton
40,Will Barton
41,Tyshawn Taylor
42,Doron Lamb
43,Mike Scott
44,Kim English
45,Justin Hamilton
46,Darius Miller
47,Kevin Murphy
48,Kostas Papanikolaou
49,Kyle O'Quinn
50,Izzet Turkyilmaz
51,Kris Joseph
52,Ognjen Kuzmic
53,Furkan Aldemir
54,Tornike Shengelia
55,Darius Johnson-Odom
56,Tomislav Zubcic
57,Ilkan Karaman
58,Robbie Hummel
59,Marcus Denmon
60,Robert Sacre
1,Anthony Bennett
2,Victor Oladipo
3,Otto Porter
4,Cody Zeller
5,Alex Len
6,Nerlens Noel
7,Ben McLemore
8,Kentavious Caldwell-Pope
9,Trey Burke
10,C.J. McCollum
11,Michael Carter-Williams
12,Steven Adams
13,Kelly Olynyk
14,Shabazz Muhammad
15,Giannis Antetokounmpo
16,Lucas Nogueira
17,Dennis Schroder
18,Shane Larkin
19,Sergey Karasev
20,Tony Snell
21,Gorgui Dieng
22,Mason Plumlee
23,Solomon Hill
24,Tim Hardaway
25,Reggie Bullock
26,Andre Roberson
27,Rudy Gobert
28,Livio Jean-Charles
29,Archie Goodwin
30,Nemanja Nedovic
31,Allen Crabbe
32,Alex Abrines
33,Carrick Felix
34,Isaiah Canaan
35,Glen Rice
36,Ray McCallum
37,Tony Mitchell
38,Nate Wolters
39,Jeff Withey
40,Grant Jerrett
41,Jamaal Franklin
42,Pierre Jackson
43,Ricky Ledo
44,Mike Muscala
45,Marko Todorovic
46,Erick Green
47,Raul Neto
48,Ryan Kelly
49,Erik Murphy
50,James Ennis
51,Romero Osby
52,Lorenzo Brown
53,Colton Iverson
54,Arsalan Kazemi
55,Joffrey Lauvergne
56,Peyton Siva
57,Alex Oriakhi
58,Deshaun Thomas
59,Bojan Dubljevic
60,Janis Timma
1,Andrew Wiggins
2,Jabari Parker
3,Joel Embiid
4,Aaron Gordon
5,Dante Exum
6,Marcus Smart
7,Julius Randle
8,Nik Stauskas
9,Noah Vonleh
10,Elfrid Payton
11,Doug McDermott
12,Dario Saric
13,Zach LaVine
14,T.J. Warren
15,Adreian Payne
16,Jusuf Nurkic
17,James Young
18,Tyler Ennis
19,Gary Harris
20,Bruno Caboclo
21,Mitch McGary
22,Jordan Adams
23,Rodney Hood
24,Shabazz Napier
25,Clint Capela
26,P.J. Hairston
27,Bogdan Bogdanovic
28,C.J. Wilcox
29,Josh Huestis
30,Kyle Anderson
31,Damien Inglis
32,K.J. McDaniels
33,Joe Harris
34,Cleanthony Early
35,Jarnell Stokes
36,Johnny O'Bryant III
